review_id,order_id,product_id,user_id,rating,review_text,review_date
R00000001,O00000001,P00354,,1.0,"Terrible quality, returned immediately.",2026-03-04T21:06:10
R00000002,O00000002,P01321,U001322,1.0,,2026-03-09T09:57:41
R00000004,O00000004,P00227,U001668,5.0,Highly recommend this brand,2025-02-27T17:41:49
R00000007,O00000007,P00662,U000192,5.0,Exceeded my expectations!,2025-09-09T11:49:03
R00000009,O00000009,P00882,U001462,5.0,Fast shipping and good packaging,2025-10-27T13:09:28
R00000010,O00000010,P01991,U000425,5.0,,2025-02-24T16:25:05
R00000012,O00000012,P00681,U001333,4.0,"Value for money, satisfied with purchase.",2025-09-13T11:20:55
R00000013,O00000013,P00069,U000919,4.0,Good product will buy again,2026-04-03T10:38:44
R00000014,O00000014,P00779,U001134,5.0,Highly recommend this brand,2025-01-29T23:46:49
R00000016,O00000016,P00150,U001477,4.0,Good product will buy again,2025-04-01T20:23:42
R00000018,O00000018,P01188,U000742,5.0,Highly recommend this brand,2026-02-16T10:55:51
R00000019,O00000019,P00506,U000661,,Not good wont buy at all,2025-05-16T05:51:37
R00000020,O00000020,P01851,U000514,5.0,,2026-03-03T14:02:44
R00000022,O00000022,P00891,U000871,3.0,Decent product but overpriced.,2025-01-06T18:11:16
R00000024,O00000024,P01957,U000117,5.0,Fast shipping and good packaging,2025-06-18T21:02:09
R00000025,O00000025,P01745,U001597,4.0,,2025-02-22T11:44:35
R00000026,O00000026,P01032,U001034,4.0,"Value for money, satisfied with purchase.",2025-08-02T05:52:49
R00000027,O00000027,P00794,U000568,5.0,Fast shipping and good packaging,2025-04-09T13:11:05
R00000028,O00000028,P01411,,1.0,"Terrible quality, returned immediately.",2025-02-23T08:02:41
R00000030,O00000030,P00575,U001740,2.0,"Not as expected, quality is poor.",2025-10-03T20:16:20
R00000031,O00000031,P00127,U001538,4.0,"Value for money, satisfied with purchase.",2025-06-06T20:33:28
R00000033,O00000033,P01411,U001687,1.0,"Terrible quality, returned immediately.",2025-11-15T22:41:35
R00000035,O00000035,P01204,U000553,3.0,Decent product but overpriced.,2025-02-22T14:44:32
R00000037,O00000037,P00129,U000298,1.0,"Terrible quality, returned immediately.",2025-03-01T04:09:25
R00000038,O00000038,P00357,U000249,2.0,"Not as expected, quality is poor.",2025-07-01T18:52:58
R00000040,O00000040,P00142,U001492,3.0,Decent product but overpriced.,2025-12-02T11:26:16
R00000041,O00000041,P01275,,4.0,,2026-02-22T02:39:50
R00000042,O00000042,P01541,U000498,5.0,Highly recommend this brand,2025-02-05T19:39:14
R00000043,O00000043,P00303,U000873,4.0,Good product will buy again,2026-02-07T22:31:48
R00000044,O00000044,P01077,U000270,2.0,Color was different from images.,2025-02-04T18:28:43
R00000045,O00000045,P01287,U001773,4.0,"Value for money, satisfied with purchase.",2025-08-04T23:33:58
R00000046,O00000046,P01822,U001328,2.0,Color was different from images.,2025-11-23T19:43:36
R00000049,O00000049,P00637,U000338,5.0,Fast shipping and good packaging,2026-04-14T21:03:30
R00000050,O00000050,P00279,U001019,1.0,"Terrible quality, returned immediately.",2025-12-02T14:23:08
R00000053,O00000053,P01384,U001536,4.0,Good product will buy again,2025-07-23T21:41:58
R00000055,O00000055,P01132,U000862,3.0,Decent product but overpriced.,2026-02-10T18:58:03
R00000057,O00000057,P00235,U001210,5.0,Exceeded my expectations!,2025-07-28T20:25:34
R00000060,O00000060,P00606,U001981,3.0,Decent product but overpriced.,2026-01-31T21:56:03
R00000061,O00000061,P00469,U000811,5.0,Highly recommend this brand,2025-07-23T16:43:46
R00000062,O00000062,P01416,U001202,4.0,Good product will buy again,2025-10-10T16:06:55
R00000063,O00000063,P01206,U000805,4.0,"Value for money, satisfied with purchase.",2025-11-24T17:19:01
R00000064,O00000064,P01675,U000873,2.0,"Not as expected, quality is poor.",2025-09-09T03:09:35
R00000065,O00000065,P00351,U000604,1.0,Not good wont buy at all,2025-07-23T04:05:16
R00000066,O00000066,P00155,U000689,2.0,"Not as expected, quality is poor.",2025-12-26T18:14:13
R00000067,O00000067,P00933,U000655,3.0,Decent product but overpriced.,2026-01-28T11:50:56
R00000068,O00000068,P00176,U000945,1.0,Not good wont buy at all,2025-11-21T08:25:30
R00000069,O00000069,P00366,U000925,1.0,"Terrible quality, returned immediately.",2026-01-19T06:11:27
R00000070,O00000070,P01819,,4.0,Good product will buy again,2025-08-14T00:03:07
R00000072,O00000072,P00300,U000008,1.0,"Terrible quality, returned immediately.",2026-03-03T01:48:23
R00000074,O00000074,P00783,U001342,2.0,Color was different from images.,2025-09-20T16:03:45
R00000076,O00000076,P01951,U000500,3.0,Decent product but overpriced.,2026-03-20T13:33:10
R00000077,O00000077,P00608,U000388,5.0,Exceeded my expectations!,2025-01-29T09:29:37
R00000078,O00000078,P00248,U001685,3.0,Decent product but overpriced.,2026-03-04T12:39:04
R00000079,O00000079,P00286,,5.0,Fast shipping and good packaging,2025-12-23T14:31:06
