order_id,user_id,order_date,order_status,total_amount
O00000001,U01021,2025-08-01T15:17:41,pending,332.89
O00000002,U01042,2026-03-15T18:56:52,completed,1028.41
O00000003,U01061,2025-06-04T04:46:08,pending,354.66
O00000004,U01077,2025-03-13T12:40:25,completed,584.0
O00000005,U01078,2026-04-04T11:39:41,completed,2140.75
O00000006,U01012,2025-12-13T01:15:56,pending,2883.98
O00000007,U01018,2025-08-30T20:54:09,pending,1866.01
O00000008,U01002,2025-09-29T15:08:45,pending,2437.84
O00000009,U01059,2025-07-06T18:35:21,completed,893.64
O00000010,U01094,2025-07-02T17:32:35,pending,1266.94
O00000011,U01006,2025-03-19T15:52:05,completed,1281.12
O00000012,U01015,2025-02-05T04:51:41,completed,1882.67
O00000013,U01033,2025-06-13T12:56:55,pending,1474.43
O00000014,U01088,2025-10-22T19:04:32,completed,230.19
O00000015,U01041,2026-04-29T21:10:33,pending,2367.88
O00000016,U01039,2025-11-12T07:48:42,pending,1487.21
O00000017,U01068,2025-11-27T19:03:17,pending,2111.94
O00000018,U01006,2025-03-01T06:31:46,completed,431.96
O00000019,U01074,2025-08-21T14:35:11,pending,1825.03
O00000020,U01032,2025-09-03T11:38:34,completed,165.11
O00000021,U01022,2025-12-02T22:48:01,pending,114.06
O00000022,U01009,2026-02-21T04:14:20,pending,1550.73
O00000023,U01084,2025-10-06T01:05:03,completed,1828.93
O00000024,U01063,2026-03-05T00:42:41,pending,428.75
O00000025,U01045,2026-01-11T21:59:32,completed,270.7
O00000026,U01053,2025-06-29T02:02:01,pending,1795.34
O00000027,U01056,2025-02-18T14:40:36,pending,1145.64
O00000028,U01018,2025-02-11T15:53:32,pending,1221.62
O00000029,U01035,2025-10-30T22:03:10,completed,1227.47
O00000030,U01025,2025-06-07T20:12:00,pending,1340.76
O00000031,U01057,2025-08-13T06:58:12,pending,2726.15
O00000032,U01010,2025-01-31T20:38:55,pending,705.09
O00000033,U01081,2025-04-04T03:17:48,pending,1127.07
O00000034,U01028,2025-03-22T19:22:16,pending,2337.7
O00000035,U01048,2025-09-17T12:33:57,completed,1764.05
O00000036,U01073,2025-04-27T10:29:47,completed,1150.12
O00000037,U01099,2026-02-13T03:53:28,pending,236.06
O00000038,U01045,2025-06-29T12:31:27,pending,2848.32
O00000039,U01091,2025-01-22T21:32:51,completed,1390.83
