product_id,product_name,category,brand,price,rating,stock_quantity
P00001,HarperCollins Data Science Handbook,Books,HarperCollins,41.98,3.3,15
P00002,Samsung Monitor,Electronics,Samsung,284.81,4.0,32
P00003,Philips Lamp,Home & Garden,Philips,453.0,3.8,93
P00004,Puma Hoodie,Clothing,Puma,150.64,3.3,11
P00005,Uniqlo T-Shirt,Clothing,Uniqlo,145.17,4.5,81
P00006,Adidas Jeans,Clothing,Adidas,232.75,4.1,88
P00007,Dell Tablet,Electronics,Dell,486.21,2.9,8
P00008,HP Tablet,Electronics,HP,247.13,3.8,59
P00009,Apple Headphones,Electronics,Apple,156.65,2.4,19
P00010,Dell Laptop,Electronics,Dell,229.14,1.5,10
P00011,Sony Headphones,Electronics,Sony,352.4,4.7,51
P00012,Dell Headphones,Electronics,Dell,320.15,2.7,59
P00013,Adidas Jacket,Clothing,Adidas,32.79,3.1,8
P00014,Dell Headphones,Electronics,Dell,253.94,3.0,25
P00015,Nike Jeans,Clothing,Nike,72.06,2.7,3
P00016,OReilly Machine Learning Book,Books,OReilly,320.7,2.6,13
P00017,OReilly Python Guide,Books,OReilly,160.5,1.7,39
P00018,Penguin Machine Learning Book,Books,Penguin,282.18,4.6,96
P00019,HP Tablet,Electronics,HP,410.06,4.8,45
P00020,Uniqlo Jacket,Clothing,Uniqlo,322.1,3.6,44
P00021,Whirlpool Desk,Home & Garden,Whirlpool,148.06,3.5,61
P00022,HP Tablet,Electronics,HP,325.9,2.7,74
P00023,Philips Lamp,Home & Garden,Philips,154.95,2.6,96
P00024,Puma T-Shirt,Clothing,Puma,404.32,2.3,86
P00025,Philips Coffee Maker,Home & Garden,Philips,134.46,1.4,38
P00026,Samsung Smartphone,Electronics,Samsung,294.48,3.3,55
P00027,Apple Tablet,Electronics,Apple,340.84,1.9,51
P00028,Adidas T-Shirt,Clothing,Adidas,164.24,2.5,66
P00029,Whirlpool Vacuum,Home & Garden,Whirlpool,397.15,2.2,64
P00030,Whirlpool Lamp,Home & Garden,Whirlpool,301.14,4.1,43
P00031,OReilly SQL Fundamentals,Books,OReilly,350.98,2.3,13
P00032,Levis Hoodie,Clothing,Levis,44.27,3.3,70
P00033,Levis T-Shirt,Clothing,Levis,354.03,4.3,2
P00034,Adidas Jacket,Clothing,Adidas,455.6,1.1,36
P00035,Philips Air Purifier,Home & Garden,Philips,101.88,1.1,11
P00036,HP Laptop,Electronics,HP,365.56,4.9,26
P00037,Penguin Machine Learning Book,Books,Penguin,226.83,2.8,78
P00038,Uniqlo Jacket,Clothing,Uniqlo,408.36,2.6,34
P00039,KitchenAid Coffee Maker,Home & Garden,KitchenAid,423.82,1.2,1
P00040,OReilly Data Science Handbook,Books,OReilly,41.36,2.9,49
