product_id,product_name,category,brand,price,rating,stock_quantity
P00001,Apple Smartphone,Electronics,Apple,390.02,4.9,7
P00002,Ikea Lamp,Home & Garden,Ikea,330.96,1.7,25
P00003,Penguin Machine Learning Book,Books,Penguin,444.67,3.7,100
P00004,Whirlpool Vacuum,Home & Garden,Whirlpool,43.82,3.7,71
P00005,Dyson Coffee Maker,Home & Garden,Dyson,477.03,4.1,100
P00006,Adidas T-Shirt,Clothing,Adidas,191.04,2.1,1
P00007,KitchenAid Lamp,Home & Garden,KitchenAid,445.39,2.7,45
P00008,Levis Jeans,Clothing,Levis,82.15,4.3,90
P00009,HarperCollins SQL Fundamentals,Books,HarperCollins,25.06,4.4,40
P00010,OReilly Python Guide,Books,OReilly,158.31,3.6,97
P00011,Ikea Desk,Home & Garden,Ikea,244.42,4.6,99
P00012,Pearson Machine Learning Book,Books,Pearson,406.52,1.2,47
P00013,Nike Jeans,Clothing,Nike,374.28,2.1,72
P00014,Penguin Data Science Handbook,Books,Penguin,44.5,2.2,8
P00015,KitchenAid Air Purifier,Home & Garden,KitchenAid,62.66,4.1,34
P00016,Apple Tablet,Electronics,Apple,165.64,3.3,29
P00017,Dyson Coffee Maker,Home & Garden,Dyson,55.7,1.9,62
P00018,Penguin SQL Fundamentals,Books,Penguin,495.27,1.7,5
P00019,HarperCollins Python Guide,Books,HarperCollins,36.76,5.0,81
P00020,Nike Hoodie,Clothing,Nike,275.5,1.9,52
P00021,Puma T-Shirt,Clothing,Puma,118.71,2.4,55
P00022,Philips Lamp,Home & Garden,Philips,66.22,3.2,37
P00023,KitchenAid Coffee Maker,Home & Garden,KitchenAid,231.88,2.9,4
P00024,Apple Smartphone,Electronics,Apple,149.37,3.7,11
P00025,Philips Coffee Maker,Home & Garden,Philips,193.51,3.5,80
P00026,Philips Air Purifier,Home & Garden,Philips,359.63,3.8,43
P00027,Adidas Jacket,Clothing,Adidas,177.84,2.4,7
P00028,KitchenAid Desk,Home & Garden,KitchenAid,223.75,3.9,40
P00029,Penguin Python Guide,Books,Penguin,395.36,3.9,8
P00030,Puma T-Shirt,Clothing,Puma,487.88,2.5,43
P00031,Samsung Laptop,Electronics,Samsung,147.36,2.4,35
P00032,Penguin Data Science Handbook,Books,Penguin,486.02,4.2,17
P00033,Adidas T-Shirt,Clothing,Adidas,338.44,1.5,49
