order_id,user_id,order_date,order_status,total_amount
O00000001,U01093,2026-01-21T00:33:15,pending,1781.68
O00000002,U01078,2025-12-15T08:36:18,pending,2104.1
O00000003,U01011,2025-05-27T14:21:29,completed,1989.19
O00000004,U01007,2025-10-22T23:19:00,completed,2359.28
O00000005,U01029,2026-03-26T15:28:44,completed,1329.6
O00000006,U01097,2025-02-10T20:59:22,pending,2796.53
O00000007,U01085,2025-03-20T07:56:30,pending,2557.81
O00000008,U01037,2025-10-31T03:11:41,pending,1077.62
O00000009,U01095,2026-02-25T16:44:28,completed,2961.28
O00000010,U01086,2026-01-27T04:14:33,completed,993.09
O00000011,U01035,2025-01-06T07:34:26,completed,1410.6
O00000012,U01067,2025-09-17T03:30:28,pending,1743.55
O00000013,U01038,2025-05-03T05:49:46,completed,355.8
O00000014,U01031,2025-06-18T10:10:34,completed,1173.97
O00000015,U01078,2025-07-07T09:48:11,pending,2484.75
O00000016,U01017,2025-06-10T23:11:33,completed,856.53
O00000017,U01098,2026-04-01T18:43:57,pending,1742.47
O00000018,U01045,2025-12-31T08:20:38,completed,1057.15
O00000019,U01070,2025-06-15T21:35:18,pending,2690.95
O00000020,U01079,2025-11-21T11:18:34,completed,2853.73
O00000021,U01041,2025-05-05T23:33:48,completed,541.19
O00000022,U01069,2025-09-13T01:53:21,pending,2696.6
O00000023,U01084,2025-02-21T19:35:35,completed,2519.37
O00000024,U01056,2025-06-24T14:45:41,pending,1363.39
O00000025,U01059,2025-09-04T11:34:26,pending,534.98
O00000026,U01096,2025-08-12T21:57:29,completed,1586.55
O00000027,U01022,2025-04-26T12:22:52,pending,787.04
O00000028,U01094,2026-03-08T19:19:22,pending,2372.76
O00000029,U01018,2025-11-27T09:32:35,completed,2376.35
O00000030,U01069,2025-06-06T07:31:57,pending,829.41
O00000031,U01010,2025-04-03T17:55:36,pending,708.09
O00000032,U01006,2025-02-21T19:26:11,pending,2436.04
O00000033,U01082,2025-12-09T16:01:29,completed,2885.58
O00000034,U01075,2026-01-16T16:08:37,completed,1858.72
O00000035,U01075,2025-12-24T01:19:15,completed,2118.95
O00000036,U01024,2025-07-30T14:06:33,pending,689.61
O00000037,U01070,2025-01-07T04:44:45,completed,2099.66
O00000038,U01070,2025-07-09T04:12:24,pending,2639.74
O00000039,U01005,2025-06-19T06:41:52,pending,2911.45
O00000040,U01024,2025-10-23T12:56:14,pending,164.44
O00000041,U01001,2025-10-22T07:57:54,completed,621.15
O00000042,U01067,2025-03-16T11:23:45,pending,786.74
O00000043,U01026,2025-06-20T07:33:14,completed,1378.62
O00000044,U01051,2025-01-17T18:12:51,completed,413.16
O00000045,U01014,2025-06-29T18:25:29,completed,1278.95
O00000046,U01028,2025-11-20T14:11:21,pending,2951.14
O00000047,U01028,2025-03-26T14:03:38,completed,2370.89
O00000048,U01094,2025-04-08T22:28:58,completed,1328.94
O00000049,U01034,2025-04-29T04:42:20,pending,624.85
O00000050,U01079,2026-03-23T01:21:08,pending,932.9
O00000051,U01098,2025-11-20T17:20:40,completed,2981.21
O00000052,U01093,2025-01-13T06:45:12,pending,32.82
O00000053,U01029,2025-03-13T11:58:29,completed,2181.48
O00000054,U01002,2025-01-12T07:25:06,completed,665.05
O00000055,U01062,2026-01-02T18:07:03,pending,2341.36
O00000056,U01005,2025-05-24T04:02:59,completed,2540.51
O00000057,U01095,2026-02-05T04:00:10,completed,2168.29
O00000058,U01069,2025-01-15T23:10:48,completed,2096.03
O00000059,U01027,2025-06-17T11:37:05,pending,377.13
O00000060,U01053,2026-02-15T14:00:03,pending,1334.13
O00000061,U01075,2025-01-03T13:36:47,pending,136.73
O00000062,U01064,2025-08-24T14:37:33,completed,2833.89
O00000063,U01021,2025-11-01T09:00:53,pending,385.76
O00000064,U01035,2025-10-15T23:14:00,completed,1747.28
O00000065,U01048,2025-10-13T23:50:21,completed,1538.16
O00000066,U01087,2026-03-19T02:15:29,pending,1265.81
O00000067,U01093,2025-08-12T20:33:00,completed,1045.0
O00000068,U01025,2025-06-22T05:54:16,completed,1326.13
O00000069,U01087,2026-04-17T22:55:13,completed,1046.86
O00000070,U01061,2025-07-02T23:02:17,completed,2015.09
O00000071,U01065,2025-06-13T04:35:02,pending,1376.93
O00000072,U01056,2025-03-22T15:08:46,completed,2694.29
O00000073,U01039,2025-04-28T15:04:24,completed,1825.92
O00000074,U01043,2025-05-16T22:18:33,completed,2335.11
