product_id,product_name,category,brand,price,rating,stock_quantity
P00001,Apple Tablet,Electronics,Apple,200.73,3.9,59
P00002,Adidas T-Shirt,Clothing,Adidas,297.78,1.3,91
P00003,Puma T-Shirt,Clothing,Puma,274.86,1.1,68
P00004,Uniqlo Sneakers,Clothing,Uniqlo,294.7,1.0,50
P00005,Penguin SQL Fundamentals,Books,Penguin,10.93,5.0,70
P00006,Ikea Lamp,Home & Garden,Ikea,457.18,2.8,40
P00007,Uniqlo Jeans,Clothing,Uniqlo,112.74,2.7,65
P00008,HP Tablet,Electronics,HP,371.94,4.3,63
P00009,HP Laptop,Electronics,HP,60.82,4.1,59
P00010,Nike Hoodie,Clothing,Nike,318.92,1.3,17
P00011,Penguin Data Science Handbook,Books,Penguin,166.54,2.9,85
P00012,Dyson Vacuum,Home & Garden,Dyson,67.07,1.8,0
P00013,Penguin Machine Learning Book,Books,Penguin,391.8,2.7,87
P00014,Adidas Jacket,Clothing,Adidas,329.5,4.3,46
P00015,Dyson Coffee Maker,Home & Garden,Dyson,406.48,4.7,35
P00016,OReilly Python Guide,Books,OReilly,410.56,1.6,89
P00017,HarperCollins SQL Fundamentals,Books,HarperCollins,137.62,2.7,64
P00018,Ikea Vacuum,Home & Garden,Ikea,257.91,4.9,85
P00019,Whirlpool Lamp,Home & Garden,Whirlpool,224.65,1.9,67
P00020,Dyson Coffee Maker,Home & Garden,Dyson,118.28,4.9,70
P00021,Ikea Vacuum,Home & Garden,Ikea,326.68,1.6,23
P00022,Whirlpool Coffee Maker,Home & Garden,Whirlpool,394.1,2.4,88
P00023,Uniqlo Jeans,Clothing,Uniqlo,259.88,2.7,49
P00024,Adidas Sneakers,Clothing,Adidas,476.8,3.9,35
P00025,HarperCollins Python Guide,Books,HarperCollins,151.67,3.6,78
P00026,Dell Smartphone,Electronics,Dell,425.43,4.6,98
P00027,Ikea Air Purifier,Home & Garden,Ikea,130.79,4.3,80
P00028,KitchenAid Desk,Home & Garden,KitchenAid,370.13,3.3,49
P00029,Puma Jacket,Clothing,Puma,304.5,3.5,60
P00030,HarperCollins Machine Learning Book,Books,HarperCollins,460.31,1.0,42
P00031,Dyson Air Purifier,Home & Garden,Dyson,109.27,4.7,14
P00032,OReilly SQL Fundamentals,Books,OReilly,295.93,4.8,47
P00033,Pearson Python Guide,Books,Pearson,19.29,2.3,30
P00034,OReilly Data Science Handbook,Books,OReilly,127.27,1.4,12
P00035,Puma Jacket,Clothing,Puma,496.92,1.1,7
P00036,Apple Monitor,Electronics,Apple,413.02,4.9,77
P00037,HarperCollins Machine Learning Book,Books,HarperCollins,427.6,2.7,63
P00038,Philips Coffee Maker,Home & Garden,Philips,132.13,2.5,12
P00039,Penguin Python Guide,Books,Penguin,38.91,1.7,2
P00040,Samsung Headphones,Electronics,Samsung,284.93,4.1,100
P00041,Penguin SQL Fundamentals,Books,Penguin,237.75,2.6,7
P00042,Penguin SQL Fundamentals,Books,Penguin,210.39,3.7,37
P00043,Sony Laptop,Electronics,Sony,362.71,1.5,35
P00044,Levis T-Shirt,Clothing,Levis,243.9,1.2,62
P00045,OReilly Python Guide,Books,OReilly,343.58,1.3,93
P00046,Philips Lamp,Home & Garden,Philips,361.77,3.7,88
P00047,HP Headphones,Electronics,HP,217.16,3.6,93
P00048,OReilly Machine Learning Book,Books,OReilly,41.53,2.7,35
P00049,Puma Jeans,Clothing,Puma,434.58,2.5,55
P00050,Uniqlo Jacket,Clothing,Uniqlo,448.58,3.8,34
P00051,HP Laptop,Electronics,HP,333.88,1.4,98
P00052,Pearson Data Science Handbook,Books,Pearson,147.31,3.8,66
P00053,Dyson Air Purifier,Home & Garden,Dyson,83.96,1.4,66
P00054,Sony Tablet,Electronics,Sony,261.84,2.4,62
P00055,Sony Laptop,Electronics,Sony,143.37,4.9,42
P00056,Whirlpool Lamp,Home & Garden,Whirlpool,424.41,2.7,79
P00057,Samsung Monitor,Electronics,Samsung,330.0,2.2,61
P00058,Apple Headphones,Electronics,Apple,221.46,1.0,91
P00059,Pearson Machine Learning Book,Books,Pearson,271.18,3.9,36
P00060,Pearson Data Science Handbook,Books,Pearson,30.25,2.9,8
P00061,Levis T-Shirt,Clothing,Levis,12.44,4.7,55
P00062,Levis Jeans,Clothing,Levis,309.65,4.7,57
P00063,Dyson Coffee Maker,Home & Garden,Dyson,106.83,4.4,55
P00064,Pearson Machine Learning Book,Books,Pearson,119.61,1.1,75
P00065,Nike Hoodie,Clothing,Nike,283.64,1.6,52
P00066,Apple Laptop,Electronics,Apple,189.84,2.4,88
P00067,Nike Sneakers,Clothing,Nike,448.53,3.0,64
P00068,OReilly Data Science Handbook,Books,OReilly,222.22,4.4,89
P00069,Adidas Sneakers,Clothing,Adidas,206.3,3.1,87
P00070,Philips Lamp,Home & Garden,Philips,456.93,1.4,80
P00071,Nike Jacket,Clothing,Nike,38.55,4.3,51
P00072,Nike T-Shirt,Clothing,Nike,268.57,3.9,59
P00073,HarperCollins Python Guide,Books,HarperCollins,477.2,4.2,61
P00074,Sony Tablet,Electronics,Sony,38.72,4.8,39
P00075,Levis Hoodie,Clothing,Levis,386.55,4.8,77
P00076,HarperCollins Python Guide,Books,HarperCollins,113.48,3.6,83
P00077,Nike Sneakers,Clothing,Nike,382.97,4.1,77
P00078,Levis Hoodie,Clothing,Levis,237.87,2.3,33
P00079,Pearson SQL Fundamentals,Books,Pearson,327.11,2.6,49
P00080,HP Monitor,Electronics,HP,281.34,2.7,85
P00081,Apple Monitor,Electronics,Apple,42.65,3.2,38
P00082,HP Laptop,Electronics,HP,329.62,4.9,90
P00083,Ikea Air Purifier,Home & Garden,Ikea,94.97,1.2,48
P00084,KitchenAid Coffee Maker,Home & Garden,KitchenAid,137.97,1.8,84
P00085,Dyson Coffee Maker,Home & Garden,Dyson,425.32,1.9,30
P00086,Apple Smartphone,Electronics,Apple,34.71,1.2,96
P00087,OReilly SQL Fundamentals,Books,OReilly,132.13,3.2,39
P00088,Adidas Hoodie,Clothing,Adidas,392.44,4.7,77
P00089,Penguin Machine Learning Book,Books,Penguin,76.58,2.9,54
P00090,Pearson Machine Learning Book,Books,Pearson,65.41,1.5,13
P00091,Nike Jeans,Clothing,Nike,164.39,5.0,47
P00092,HP Headphones,Electronics,HP,461.64,2.5,96
P00093,Adidas Jeans,Clothing,Adidas,376.59,3.1,71
P00094,Sony Headphones,Electronics,Sony,398.13,3.4,66
